model,n,mean_crps,rmse_median,mae_median,pinball_q05,pinball_q10,pinball_q25,pinball_q50,pinball_q75,pinball_q90,pinball_q95,cov80,cov90,width80,width90
baseline_qrf,56,0.2645039560891659,0.5261744981086891,0.3851286701860346,0.05852716901996537,0.09270995916711514,0.14571332118795802,0.1925643350930173,0.14676202470324634,0.07321571554892423,0.0463200231758447,0.8571428571428571,0.9285714285714286,1.319298603164789,1.672142586609262
enhanced_qrf,56,0.2658799508825744,0.5152486527068636,0.3761692490472396,0.055852802423746385,0.0884388768415482,0.1463722346324982,0.1880846245236198,0.15852159908043184,0.07411129570427509,0.04488121432602754,0.875,0.9464285714285714,1.2966025748383352,1.676264485932723
