,q05,q10,q25,q50,q75,q90,q95
2020-11-01,-0.7932995307926066,-0.5931730541826581,-0.4961965924766637,-0.10010020030059574,0.30090270812435094,0.6080809633200301,0.9032443772409648
2020-12-01,-0.4990019960079861,-0.3960396039603853,0.0,0.30043632327917014,0.5715661099463965,0.9585387996921955,1.3836758893280556
2021-01-01,-0.5934723342184992,-0.49736644039877265,0.0,0.38113006513751013,1.0608923230309237,1.3876877470355733,1.3944664031620684
2021-02-01,-0.9714106841163438,-0.6425986930432254,-0.495233492625774,-0.09925619427614413,0.3988035892323216,0.6386372307409053,1.0095975313091958
2021-03-01,-2.747218679748924,-2.462493302375429,-2.128427128427124,-1.8774703557312367,-1.385396691843102,-0.995024875621886,-0.09519038076150133
2021-04-01,-0.6023282289340506,-0.39846041721050957,-0.036254794494146314,0.30090361536870835,0.5120709152459962,1.0995487152437349,1.1749580471692072
2021-05-01,-0.6006006006006093,-0.5006710718133542,-0.29902954765743117,0.0,0.2974717118918724,0.5000001001002922,0.7039124266946782
2021-06-01,-0.5349834887197525,-0.4480406714158758,-0.1997254990518449,0.19821625019645905,0.49664772043014893,0.8964143426294591,1.0968472338495765
2021-07-01,-0.5465954859300193,-0.3982744965766005,0.0,0.29970029970032286,0.5487083767401896,0.8321896859223002,1.1930213336134463
2021-08-01,-0.5229200982531407,-0.39815533215751486,-0.19898881965289178,0.10080696175309711,0.39920199441636495,0.7023363725171011,0.8992437065365715
2021-09-01,-0.49829375114313235,-0.3974188463622452,-0.19920318725098474,0.10045499223824325,0.37403014066371143,0.6310547152925673,0.9049135445907894
2021-10-01,-0.694444444444442,-0.595536209033513,-0.49652432969213844,-0.19895847173627135,0.40061399301235256,0.8091011684014839,1.096792671169457
2021-11-01,-0.7303614764158554,-0.5917159763313751,-0.495581146707109,-0.2005013035097425,0.19963431016470912,0.5577240945725436,0.7033255700740675
2021-12-01,-0.450658597490501,-0.3966378055418616,-0.14217853859287366,0.2989572989076317,0.49999999999998934,0.7470634907712126,1.097152538348651
2022-01-01,-0.6972111553784743,-0.49654903239510856,0.0,0.3671050263282405,0.6095349494465024,1.1050071889490687,1.202305737106555
2022-02-01,-0.6904134200402318,-0.4972952044227452,0.0,0.49718274103306054,0.7034130560696003,1.0099704877093558,1.1928429423458953
2022-03-01,-2.6522593320235766,-2.272727272727282,-1.9797112712543057,-1.3930348258706537,-1.287128712871255,-0.23936706903726823,0.29851346226626374
2022-04-01,-0.5964214711729809,-0.398883270269097,0.10020040080160886,0.30084258879294223,0.5516858977448386,1.0054790316736286,1.2067241712672312
2022-05-01,-0.6972111553784743,-0.5967606962900829,-0.29999999999996696,-0.09975084646637877,0.20082876984936215,0.5000117269565205,0.7034070479214851
2022-06-01,-0.5520776817600009,-0.402213690416664,-0.10007507507507896,0.3003258774318821,0.6539523280362086,0.8973080757726848,1.0079054255430757
2022-07-01,-0.5001205001204978,-0.3982613735829188,-0.012475049900202706,0.30017527547587797,0.5988445468301296,0.7040201272979019,0.7720072491568651
2022-08-01,-0.6314927666061622,-0.5941281282811789,-0.29644268774703386,-6.640086400167e-05,0.30090270812435094,0.5003504005006976,0.7028112449799284
2022-09-01,-0.5970223583278668,-0.49780445728865974,-0.2329272858384311,0.1001502504508478,0.3662659363523446,0.6143548387096452,0.8057133891010264
2022-10-01,-0.6964871268801243,-0.5951945549753679,-0.3980099502487566,0.19870883735435552,0.5641392987110605,0.8973080757726848,1.109989909182696
2022-11-01,-0.5997185930632882,-0.501353760680836,-0.3982081623753797,-0.19962113619340305,0.1503541866811453,0.42583531578087414,0.7033120351891157
2022-12-01,-0.5970327644645147,-0.4529957642810241,-0.09991258741258308,0.3867153476140417,0.5971229077149939,0.7059308475904215,1.1075245007337655
2023-01-01,-0.6015189858151687,-0.5304429862373812,-0.2968106652640995,0.30070170431131993,0.5966076666871878,1.0128495883405604,1.2046135940465954
2023-02-01,-0.6903353057199246,-0.49659997026849906,0.0,0.40150632985472834,0.7982058307150208,1.100867007043508,1.3078470824949617
2023-03-01,-2.6568739039657254,-1.9821644450724503,-1.7047083530440648,-1.287128712871255,-0.12365616895571307,0.49999999999998934,0.801239574328374
2023-04-01,-0.3960396039603853,-0.10492017932315606,0.1999356698408672,0.39761708083454195,0.5020080321285203,0.9087882111076843,1.109989909182696
2023-05-01,-0.5976095617529986,-0.5015045135406182,-0.29962552417642785,0.0,0.34945154586233096,0.5577240945725436,0.7565117308053863
2023-06-01,-0.6038103233315746,-0.5946822277284469,-0.2998075278015235,-0.09990009990009652,0.2006859943641285,0.4709791923241375,0.6518076730303208
2023-07-01,-0.3992271916800222,-0.19972848686705613,0.19970194447435918,0.4012036108324679,0.7035441565052869,1.0060362173038184,1.0504737163847848
2023-08-01,-0.6977262981295619,-0.5926924053352101,-0.29977522477521723,-0.03326709794371403,0.2994399282057053,0.5013845663362032,0.705681087635891
2023-09-01,-0.49976997956039965,-0.3003608118945855,-0.19931103072090423,0.10000025040137195,0.398279775969268,0.501405622489961,0.7014042154604402
2023-10-01,-0.7433208191722679,-0.595637440898773,-0.4473906534852981,-0.17050080613133556,0.2979145978152742,0.6498056156481602,0.7500000000000062
2023-11-01,-0.699740956334332,-0.5973419753820525,-0.49708707970433363,-0.2979145978152964,0.0,0.3995011173475871,0.5466417829034591
2023-12-01,-0.49866068852350104,-0.4593122376697155,-0.1998251748251592,0.20083694944021774,0.49714152893582386,0.7007525997330204,1.0103656921735262
2024-01-01,-0.39802977146141894,-0.29991008991006707,0.10075635584859688,0.49979187479187537,0.7010539469855235,0.9013956478364885,1.0946364885443116
2024-02-01,-0.694624936864835,-0.4965987339373473,-0.19925313522652643,0.30090301114518525,0.6034703724046242,0.8964441337342333,1.094130857051092
2024-03-01,-2.272727272727282,-1.9802019060179348,-1.9050546053284887,-1.384312344277916,-0.10005020027563927,0.33503599039175586,0.5709947775710448
2024-04-01,-0.4966233623109184,-0.29940119760480943,0.20066894122795867,0.40087088966226736,0.7008765793906321,1.109989909182696,1.1747725389772927
2024-05-01,-0.6006156457058337,-0.49885630455566393,-0.29803848113108916,-0.03330003330003217,0.20181634712412855,0.5083538542257905,0.7108723112637184
2024-06-01,-0.6014235090039615,-0.5062534129463239,-0.20000000000000018,-0.04995004995004826,0.25369792643803085,0.501837359000431,0.7711680849984969
2024-07-01,-0.5964937619252411,-0.39804959267408124,0.0,0.30060120240480437,0.5613805925684695,0.7976602461411423,0.9018298399507768
2024-08-01,-0.5060150866801558,-0.4004004004004136,-0.1999333999333941,-0.016733350066679604,0.2660194062576597,0.602677720394097,0.7014028761036787
2024-09-01,-0.6006006006006093,-0.45297624187490826,-0.2000168666835167,-0.08311794381445728,0.2991527155595382,0.5014098690835755,0.7010517531559568
2024-10-01,-0.7435207789574718,-0.4995647594530675,-0.39677848381852454,0.2001879734339203,0.69860366453089,0.7984033528157827,1.0956368043465043
2024-11-01,-0.6972567062034565,-0.5011778823444235,-0.3988051749245658,-0.29940119760480943,0.10004848982256194,0.5003263269796443,0.7976969092721763
2024-12-01,-0.5486305193818423,-0.39841974705506544,-0.29828281073543794,0.20051135370036666,0.4006322556902936,0.60483870967738,0.7022173668018005
2025-01-01,-0.4001520818488094,-0.3967151512592555,0.045871840828055434,0.30064002308431703,0.604490437699971,0.8090934514275477,0.9100101112234471
2025-02-01,-0.7920792079207595,-0.49972961651114367,-0.2615357468618143,0.2002002002001957,0.5000208541875106,0.7028505357543369,1.0063908121437581
2025-03-01,-1.984126984126966,-1.9811831755451925,-1.8774703557312367,-0.5964214711729809,0.300676578834691,0.7000000000000117,0.8634786212411724
2025-04-01,-0.6474466118067602,-0.29999999999996696,0.1986599724635607,0.4012036108324679,0.7015797392176504,1.01321081682415,1.1111111111111072
2025-05-01,-0.7481685746321804,-0.5970149253731183,-0.35338869887050717,-0.1657911958804455,0.10090817356209758,0.5003776548164973,0.6723756313537798
2025-06-01,-0.6013576802551815,-0.43285676547940904,-0.29999999999996696,-0.10010010010010895,0.20100502512565566,0.7007364729458948,0.8078558191651894
