,coef,se,t,p
intercept,-0.10235406077065035,0.8729343095593892,-0.11725287876737624,0.9066596646703668
TXT_Ambiguity,-0.011890952894382068,0.03686957416732245,-0.3225139742709867,0.7470633529321224
TXT_Confidence,0.017453201317781615,0.09234519218102596,0.18899956679463925,0.8500931563192451
Inflation_lag1,0.06465307708868671,0.05368110155137287,1.2043917732726415,0.22843819024369982
Inflation_lag3,-0.06539525758606846,0.08145991137110146,-0.8027906793091347,0.42209573034389636
M2_Growth_lag1,-0.01957650821394979,0.025915959344333418,-0.7553842770721215,0.45001844440700656
