,coef,se,t,p
intercept,-0.11799721482275571,0.6864776753874154,-0.1718879128242061,0.8635256493232162
TXT_Ambiguity,-0.02655190510261953,0.025099495601999977,-1.0578660831934736,0.2901164999157402
TXT_Confidence,0.062084289275477704,0.07892217807745054,0.7866520005891257,0.43148560966079796
Inflation_lag1,-0.006354057324124016,0.07721423804606634,-0.08229126499096136,0.9344151003898571
Inflation_lag3,-0.00886309657647559,0.07025107669725225,-0.12616314216323257,0.8996027864782612
M2_Growth_lag1,0.1272128196258673,0.0682713547375313,1.863341076428555,0.06241429444493307
