date,F_t,d_t,cv_5pct,cv_10pct
2020-11-01,,-0.01929681153248958,2.882,2.587
2020-12-01,,-0.024018225927474823,2.882,2.587
2021-01-01,,0.007998422426981813,2.882,2.587
2021-02-01,,-0.4131730823497056,2.882,2.587
2021-03-01,,0.4781222862705879,2.882,2.587
2021-04-01,,0.0352842926480725,2.882,2.587
2021-05-01,,-0.0224146048832099,2.882,2.587
2021-06-01,,0.25410832460850824,2.882,2.587
2021-07-01,,-0.03984358632396806,2.882,2.587
2021-08-01,1.1974033566989974,-0.003763728805639835,2.882,2.587
2021-09-01,0.9806472758639353,0.051364164360710673,2.882,2.587
2021-10-01,1.1237930328645724,0.03377959294563887,2.882,2.587
2021-11-01,1.2153957601688927,-3.9451746712323293e-05,2.882,2.587
2021-12-01,2.2319690607417457,0.008052044260775992,2.882,2.587
2022-01-01,0.8101800596340548,0.06341998891506062,2.882,2.587
2022-02-01,0.5382938991312621,-0.09190179009403064,2.882,2.587
2022-03-01,0.6230146285621715,0.03604200726001411,2.882,2.587
2022-04-01,-0.18707294838956717,0.015826944532486755,2.882,2.587
2022-05-01,-0.02787332712541098,-0.08619282672487716,2.882,2.587
2022-06-01,0.0953879707269036,0.020159915226161854,2.882,2.587
2022-07-01,0.31618672665604514,0.03626917457292453,2.882,2.587
2022-08-01,0.1226019914289795,-0.09943469633854435,2.882,2.587
2022-09-01,0.1037448708629374,0.039324822079287766,2.882,2.587
2022-10-01,0.06232739031882595,-0.04862615938411197,2.882,2.587
2022-11-01,-0.21537572699764154,0.003732201154646492,2.882,2.587
2022-12-01,-0.22050487312093695,0.00409628044276935,2.882,2.587
2023-01-01,-0.049854951259884726,0.00928915422790233,2.882,2.587
2023-02-01,-0.05763947341763933,0.034277601439836936,2.882,2.587
2023-03-01,0.3156929617708095,0.11950784399448122,2.882,2.587
2023-04-01,0.0961870010874411,-0.025965201012959693,2.882,2.587
2023-05-01,-0.005108366337275578,-0.005859201850196353,2.882,2.587
2023-06-01,0.06889317395897375,-0.0047303625673747775,2.882,2.587
2023-07-01,0.12020041322433914,-0.022285712550874002,2.882,2.587
2023-08-01,0.1989345970689691,-0.09348476500142915,2.882,2.587
2023-09-01,0.2425887022469894,0.08870857938761881,2.882,2.587
2023-10-01,0.22786335621508202,0.013424458242254904,2.882,2.587
2023-11-01,0.19129617922657555,0.029026327265923926,2.882,2.587
2023-12-01,0.12137721432208749,-0.0475847774446192,2.882,2.587
2024-01-01,-0.22349747422523755,0.0050070461377889845,2.882,2.587
2024-02-01,-0.15911658355474556,-0.07659608371533061,2.882,2.587
2024-03-01,-0.12389508631511027,0.05515944062448594,2.882,2.587
2024-04-01,-0.44960295416801715,-0.024326941856560938,2.882,2.587
2024-05-01,-0.5702023560365304,0.01720488285265656,2.882,2.587
2024-06-01,-0.07121752881851666,-0.00044830704039897085,2.882,2.587
2024-07-01,-0.37425773493749603,-0.001996335055451437,2.882,2.587
2024-08-01,-0.3568113963211216,0.012698967426585023,2.882,2.587
2024-09-01,-0.28636118873875616,0.0130714187018168,2.882,2.587
2024-10-01,,-0.006095746722217549,2.882,2.587
2024-11-01,,0.005010979070975554,2.882,2.587
2024-12-01,,-0.10525145702630251,2.882,2.587
2025-01-01,,-0.059505519204085644,2.882,2.587
2025-02-01,,0.06051366703216787,2.882,2.587
2025-03-01,,-0.004816742505728194,2.882,2.587
2025-04-01,,0.018808807916027626,2.882,2.587
2025-05-01,,0.050768915241220264,2.882,2.587
2025-06-01,,-0.0007053257063218086,2.882,2.587
