date,F_t,d_t,cv_5pct,cv_10pct
2020-11-01,,0.022295017418209648,2.882,2.587
2020-12-01,,-0.14542865254135884,2.882,2.587
2021-01-01,,0.0020983748002224058,2.882,2.587
2021-02-01,,0.005888548346532879,2.882,2.587
2021-03-01,,0.18095552997255376,2.882,2.587
2021-04-01,,0.016407345161195092,2.882,2.587
2021-05-01,,0.002494707599318812,2.882,2.587
2021-06-01,,-0.011980130345724677,2.882,2.587
2021-07-01,,-0.0373095988009263,2.882,2.587
2021-08-01,0.20558811434966467,0.006815230024008995,2.882,2.587
2021-09-01,0.14748270965746185,0.006994530607697107,2.882,2.587
2021-10-01,0.37688600098220815,-0.0007612888916362914,2.882,2.587
2021-11-01,0.4087850321957033,-0.0033610493424361884,2.882,2.587
2021-12-01,0.41872082666570937,-0.014624560216997096,2.882,2.587
2022-01-01,0.1343336701316665,-0.07576181910522094,2.882,2.587
2022-02-01,0.07117246266282486,-0.006098576823508894,2.882,2.587
2022-03-01,0.09610129663025332,0.1890780918207121,2.882,2.587
2022-04-01,0.12741019607206516,-0.008551030690032086,2.882,2.587
2022-05-01,0.15176451359035706,-0.014206858732669803,2.882,2.587
2022-06-01,-0.11473356823162967,-0.001317264402904408,2.882,2.587
2022-07-01,1.020797438048415,0.02213737965452106,2.882,2.587
2022-08-01,0.9883243595982055,0.012130224850223414,2.882,2.587
2022-09-01,0.9917292739001685,0.0023032200593007257,2.882,2.587
2022-10-01,1.014974890220602,-0.02327059159495383,2.882,2.587
2022-11-01,1.1357637101852867,0.018155027235420042,2.882,2.587
2022-12-01,1.148483775937987,0.007688153110852166,2.882,2.587
2023-01-01,0.8367651465723521,-0.022010191000550405,2.882,2.587
2023-02-01,0.8220785726613398,-0.16059914439852152,2.882,2.587
2023-03-01,0.8271774734626306,0.7203362993516258,2.882,2.587
2023-04-01,0.7896142549088968,-0.021160910821924568,2.882,2.587
2023-05-01,0.8122827297492712,-0.0012220786079066275,2.882,2.587
2023-06-01,0.7345319405068859,-2.163967158392481e-05,2.882,2.587
2023-07-01,0.2554896801627696,0.00011784424309159181,2.882,2.587
2023-08-01,0.04794707406197817,0.001892181819264989,2.882,2.587
2023-09-01,-0.014452973929787895,-0.006743877982264668,2.882,2.587
2023-10-01,-0.04313336441448311,-0.017777151819732544,2.882,2.587
2023-11-01,-0.033563441506992905,-0.011003723903125904,2.882,2.587
2023-12-01,0.23050203392668883,-0.024914517683214038,2.882,2.587
2024-01-01,-0.9333322023703008,0.03637773931703122,2.882,2.587
2024-02-01,-0.885378443933288,-0.03671290247317213,2.882,2.587
2024-03-01,-0.8731997979407489,-0.2986316301623816,2.882,2.587
2024-04-01,-0.8641804332735998,-0.1536490743548965,2.882,2.587
2024-05-01,-0.8667972754203693,-0.021044748339157742,2.882,2.587
2024-06-01,-0.7121097532482112,-0.010328898262885137,2.882,2.587
2024-07-01,0.48740222944712597,-0.0159983553960468,2.882,2.587
2024-08-01,0.5142023466872788,0.005287064140299606,2.882,2.587
2024-09-01,0.5389643597987054,-0.010785588164748117,2.882,2.587
2024-10-01,,0.008963690507492073,2.882,2.587
2024-11-01,,0.0064285595738581905,2.882,2.587
2024-12-01,,0.005644334669079681,2.882,2.587
2025-01-01,,-0.0015260587372554757,2.882,2.587
2025-02-01,,0.09906704543693845,2.882,2.587
2025-03-01,,0.7467908072294972,2.882,2.587
2025-04-01,,-0.0009412900696743019,2.882,2.587
2025-05-01,,0.0045517986963240845,2.882,2.587
2025-06-01,,-0.0024088787023380945,2.882,2.587
