date,F_t,d_t,cv_5pct,cv_10pct
2020-11-01,,-0.017641163886649998,2.882,2.587
2020-12-01,,-0.023856370982239472,2.882,2.587
2021-01-01,,0.007980202370526188,2.882,2.587
2021-02-01,,-0.4101519598328147,2.882,2.587
2021-03-01,,0.4608737257922061,2.882,2.587
2021-04-01,,0.03742125459974677,2.882,2.587
2021-05-01,,-0.022302621426681664,2.882,2.587
2021-06-01,,0.2524526291919998,2.882,2.587
2021-07-01,,-0.04348967646899843,2.882,2.587
2021-08-01,0.9471567986611824,-0.005400409827513017,2.882,2.587
2021-09-01,0.740151857109987,0.026544895502043725,2.882,2.587
2021-10-01,0.8941592979649694,0.007060297356780931,2.882,2.587
2021-11-01,0.9951400899510449,-0.028131409583155843,2.882,2.587
2021-12-01,2.055717034717226,0.001168473471767184,2.882,2.587
2022-01-01,0.6817738155110896,0.06428603570366986,2.882,2.587
2022-02-01,0.381552174570739,-0.11006889664034303,2.882,2.587
2022-03-01,0.4658290699967535,0.07845257789332455,2.882,2.587
2022-04-01,-0.362910486297001,0.013972238178854741,2.882,2.587
2022-05-01,-0.22768669551143578,-0.08084039559198258,2.882,2.587
2022-06-01,-1.0173965964883696,0.02316256424705392,2.882,2.587
2022-07-01,-0.6755012453332603,0.03880994209892605,2.882,2.587
2022-08-01,-0.769848799702344,-0.08635462643903874,2.882,2.587
2022-09-01,-0.6936018709795225,0.04140472563259298,2.882,2.587
2022-10-01,-0.712887665500584,-0.05423731599554443,2.882,2.587
2022-11-01,-0.9924470570716646,0.003427368406036985,2.882,2.587
2022-12-01,-0.9269480386390352,-0.0005640517099397904,2.882,2.587
2023-01-01,-0.9012756374162628,-0.0022054461414978688,2.882,2.587
2023-02-01,-0.8968323955348216,-0.24650121948858672,2.882,2.587
2023-03-01,-0.4953278950978338,0.13092657525669793,2.882,2.587
2023-04-01,-0.7859677172229218,-0.021744294962231504,2.882,2.587
2023-05-01,-0.8949507993562452,-0.0048529927537594416,2.882,2.587
2023-06-01,-0.8459194428905042,-0.00471953764248232,2.882,2.587
2023-07-01,-0.8389491702422989,-0.021064287969318116,2.882,2.587
2023-08-01,-0.7726744955962164,-0.09007184917192876,2.882,2.587
2023-09-01,-0.7295956755866875,0.0862904392562089,2.882,2.587
2023-10-01,-0.7291955374779575,0.015328773298663006,2.882,2.587
2023-11-01,-0.728733030839584,0.04174013685185483,2.882,2.587
2023-12-01,0.10838365358573562,-0.0655706482242886,2.882,2.587
2024-01-01,-0.26083469915227125,0.005537079103035743,2.882,2.587
2024-02-01,-0.2212272693062864,-0.07138520573398391,2.882,2.587
2024-03-01,-0.1859293276091314,0.04353277085142801,2.882,2.587
2024-04-01,-0.4866219990586975,-0.03400345835056914,2.882,2.587
2024-05-01,-0.6156786324549842,0.016579461814885392,2.882,2.587
2024-06-01,-0.09906567189838184,-0.0004418883409967045,2.882,2.587
2024-07-01,-0.3457396066089145,-0.002064241472735928,2.882,2.587
2024-08-01,-0.40410875747936137,0.009073023845654088,2.882,2.587
2024-09-01,-0.3797857233533195,0.018203100881186124,2.882,2.587
2024-10-01,,-0.009652027418608489,2.882,2.587
2024-11-01,,0.005923575087197652,2.882,2.587
2024-12-01,,-0.0965219152699589,2.882,2.587
2025-01-01,,-0.06046566658377456,2.882,2.587
2025-02-01,,0.0676516426033621,2.882,2.587
2025-03-01,,0.010980144542391684,2.882,2.587
2025-04-01,,-0.0024915041433253293,2.882,2.587
2025-05-01,,0.04916603237874137,2.882,2.587
2025-06-01,,-0.0010221889306336054,2.882,2.587
