date,F_t,d_t,cv_5pct,cv_10pct
2020-11-01,,0.04631781539429003,2.882,2.587
2020-12-01,,-0.1730429971201919,2.882,2.587
2021-01-01,,0.0010813067251220602,2.882,2.587
2021-02-01,,0.009698888228695607,2.882,2.587
2021-03-01,,0.1810588978547013,2.882,2.587
2021-04-01,,0.009756284957073083,2.882,2.587
2021-05-01,,-0.00496898113865198,2.882,2.587
2021-06-01,,0.010288127752182477,2.882,2.587
2021-07-01,,-0.042050421750923606,2.882,2.587
2021-08-01,0.39330537023877005,-0.017089360151714902,2.882,2.587
2021-09-01,0.33567741759450215,0.0039916044772932355,2.882,2.587
2021-10-01,0.6849989692633671,-0.0025136490676385126,2.882,2.587
2021-11-01,0.6784445919543097,-0.0009693653403705198,2.882,2.587
2021-12-01,0.6310767081064454,0.07665731881454563,2.882,2.587
2022-01-01,0.3277587665021022,-0.005019905398639543,2.882,2.587
2022-02-01,0.23774041625866962,-0.004919690266970684,2.882,2.587
2022-03-01,0.27657823073755516,0.1052237704727732,2.882,2.587
2022-04-01,0.26913912259339384,0.0016822233160130422,2.882,2.587
2022-05-01,0.3920532055453388,0.017719346409934222,2.882,2.587
2022-06-01,0.703742777158057,0.00031144464935721516,2.882,2.587
2022-07-01,1.4681997150416606,-0.0021713709700569156,2.882,2.587
2022-08-01,1.4674003947650565,-0.013807915239403279,2.882,2.587
2022-09-01,1.4770053230776836,0.03053422454352346,2.882,2.587
2022-10-01,1.3203968728157551,-0.03491625465840037,2.882,2.587
2022-11-01,1.3273662640956871,0.014304686965624362,2.882,2.587
2022-12-01,1.3281045469202633,0.006596393207224136,2.882,2.587
2023-01-01,1.169181093009198,0.018946966282978317,2.882,2.587
2023-02-01,1.2239720343246383,0.1375898213478921,2.882,2.587
2023-03-01,1.143914018374626,0.3833612857653621,2.882,2.587
2023-04-01,1.0235316515027202,-0.002910320042228477,2.882,2.587
2023-05-01,1.1140417573670653,0.00379717991833841,2.882,2.587
2023-06-01,0.8665140666927943,-0.001061248338981058,2.882,2.587
2023-07-01,0.6056501925265091,-0.001561272717563516,2.882,2.587
2023-08-01,0.4151022897818782,-0.004553309760783712,2.882,2.587
2023-09-01,0.3535837814446268,0.026356358756484063,2.882,2.587
2023-10-01,0.33033551077033163,0.028872796014402013,2.882,2.587
2023-11-01,0.301961137734158,-0.022010274044025075,2.882,2.587
2023-12-01,0.035539813486796634,-0.059429553031079635,2.882,2.587
2024-01-01,-0.7338292371885926,0.04274520747079968,2.882,2.587
2024-02-01,-0.7240079996326116,-0.13664609809512326,2.882,2.587
2024-03-01,-0.729302004466766,-0.09892217763920208,2.882,2.587
2024-04-01,-0.8053940180695935,-0.12947762698954823,2.882,2.587
2024-05-01,-0.7684446977898861,-0.016224510618522568,2.882,2.587
2024-06-01,-0.7752116390982653,-0.004940802152168261,2.882,2.587
2024-07-01,0.4784823535749177,0.004865889479249985,2.882,2.587
2024-08-01,0.4284736539610866,0.0053754769429806,2.882,2.587
2024-09-01,0.45983807838243074,0.0015539175757523227,2.882,2.587
2024-10-01,,0.0019635709211814345,2.882,2.587
2024-11-01,,0.0011699751313287363,2.882,2.587
2024-12-01,,-0.038822699008773276,2.882,2.587
2025-01-01,,0.016775210560527484,2.882,2.587
2025-02-01,,-0.007911474544482378,2.882,2.587
2025-03-01,,0.6485150008768976,2.882,2.587
2025-04-01,,0.004055460342554773,2.882,2.587
2025-05-01,,-0.006445353239655553,2.882,2.587
2025-06-01,,-0.006369977494724896,2.882,2.587
